   1.00   0.10  11.26
   0.98   0.20  11.24
   0.96   0.29  11.23
   0.92   0.38  11.22
   0.88   0.47  11.22
   0.83   0.56  11.22
   0.77   0.63  11.22
   0.71   0.71  11.22
   0.63   0.77  11.23
   0.56   0.83  11.25
   0.47   0.88  11.26
   0.38   0.92  11.28
   0.29   0.96  11.31
   0.20   0.98  11.33
   0.10   1.00  11.36
   0.00   1.00  11.40
  -0.10   1.00  11.43
  -0.20   0.98  11.47
  -0.29   0.96  11.51
  -0.38   0.92  11.55
  -0.47   0.88  11.59
  -0.56   0.83  11.63
  -0.63   0.77  11.67
  -0.71   0.71  11.72
  -0.77   0.63  11.76
  -0.83   0.56  11.80
  -0.88   0.47  11.84
  -0.92   0.38  11.88
  -0.96   0.29  11.91
  -0.98   0.20  11.94
  -1.00   0.10  11.97
  -1.00   0.00  12.00
  -1.00  -0.10  12.02
  -0.98  -0.20  12.04
  -0.96  -0.29  12.06
  -0.92  -0.38  12.06
  -0.88  -0.47  12.07
  -0.83  -0.56  12.07
  -0.77  -0.63  12.07
  -0.71  -0.71  12.06
  -0.63  -0.77  12.05
  -0.56  -0.83  12.03
  -0.47  -0.88  12.02
  -0.38  -0.92  11.99
  -0.29  -0.96  11.96
  -0.20  -0.98  11.93
  -0.10  -1.00  11.90
   0.00  -1.00  11.86
   0.10  -1.00  11.83
   0.20  -0.98  11.79
   0.29  -0.96  11.75
   0.38  -0.92  11.71
   0.47  -0.88  11.66
   0.56  -0.83  11.62
   0.63  -0.77  11.58
   0.71  -0.71  11.54
   0.77  -0.63  11.50
   0.83  -0.56  11.46
   0.88  -0.47  11.43
   0.92  -0.38  11.39
   0.96  -0.29  11.36
   0.98  -0.20  11.33
   1.00  -0.10  11.30
   1.00   0.00  11.28
   1.99   0.20  10.28
   1.96   0.39  10.24
   1.91   0.58  10.20
   1.85   0.77  10.18
   1.76   0.94  10.16
   1.66   1.11  10.16
   1.55   1.27  10.16
   1.41   1.41  10.18
   1.27   1.55  10.20
   1.11   1.66  10.23
   0.94   1.76  10.27
   0.77   1.85  10.32
   0.58   1.91  10.39
   0.39   1.96  10.46
   0.20   1.99  10.54
   0.00   2.00  10.63
  -0.20   1.99  10.72
  -0.39   1.96  10.83
  -0.58   1.91  10.94
  -0.77   1.85  11.06
  -0.94   1.76  11.19
  -1.11   1.66  11.31
  -1.27   1.55  11.44
  -1.41   1.41  11.57
  -1.55   1.27  11.70
  -1.66   1.11  11.83
  -1.76   0.94  11.95
  -1.85   0.77  12.07
  -1.91   0.58  12.19
  -1.96   0.39  12.30
  -1.99   0.20  12.40
  -2.00   0.00  12.49
  -1.99  -0.20  12.57
  -1.96  -0.39  12.63
  -1.91  -0.58  12.68
  -1.85  -0.77  12.71
  -1.76  -0.94  12.73
  -1.66  -1.11  12.74
  -1.55  -1.27  12.72
  -1.41  -1.41  12.70
  -1.27  -1.55  12.65
  -1.11  -1.66  12.60
  -0.94  -1.76  12.53
  -0.77  -1.85  12.45
  -0.58  -1.91  12.35
  -0.39  -1.96  12.25
  -0.20  -1.99  12.14
   0.00  -2.00  12.02
   0.20  -1.99  11.90
   0.39  -1.96  11.78
   0.58  -1.91  11.65
   0.77  -1.85  11.53
   0.94  -1.76  11.41
   1.11  -1.66  11.29
   1.27  -1.55  11.17
   1.41  -1.41  11.05
   1.55  -1.27  10.94
   1.66  -1.11  10.83
   1.76  -0.94  10.72
   1.85  -0.77  10.63
   1.91  -0.58  10.54
   1.96  -0.39  10.47
   1.99  -0.20  10.40
   2.00   0.00  10.33
   2.99   0.29   9.21
   2.94   0.59   9.15
   2.87   0.87   9.10
   2.77   1.15   9.07
   2.65   1.41   9.05
   2.49   1.67   9.04
   2.32   1.90   9.04
   2.12   2.12   9.06
   1.90   2.32   9.08
   1.67   2.49   9.12
   1.41   2.65   9.18
   1.15   2.77   9.25
   0.87   2.87   9.33
   0.59   2.94   9.43
   0.29   2.99   9.55
   0.00   3.00   9.68
  -0.29   2.99   9.82
  -0.59   2.94   9.98
  -0.87   2.87  10.14
  -1.15   2.77  10.32
  -1.41   2.65  10.50
  -1.67   2.49  10.70
  -1.90   2.32  10.91
  -2.12   2.12  11.11
  -2.32   1.90  11.32
  -2.49   1.67  11.52
  -2.65   1.41  11.73
  -2.77   1.15  11.94
  -2.87   0.87  12.13
  -2.94   0.59  12.31
  -2.99   0.29  12.48
  -3.00   0.00  12.63
  -2.99  -0.29  12.77
  -2.94  -0.59  12.88
  -2.87  -0.87  12.97
  -2.77  -1.15  13.04
  -2.65  -1.41  13.08
  -2.49  -1.67  13.08
  -2.32  -1.90  13.05
  -2.12  -2.12  12.99
  -1.90  -2.32  12.91
  -1.67  -2.49  12.80
  -1.41  -2.65  12.67
  -1.15  -2.77  12.53
  -0.87  -2.87  12.37
  -0.59  -2.94  12.20
  -0.29  -2.99  12.01
   0.00  -3.00  11.82
   0.29  -2.99  11.62
   0.59  -2.94  11.42
   0.87  -2.87  11.22
   1.15  -2.77  11.02
   1.41  -2.65  10.83
   1.67  -2.49  10.65
   1.90  -2.32  10.46
   2.12  -2.12  10.29
   2.32  -1.90  10.13
   2.49  -1.67   9.98
   2.65  -1.41   9.84
   2.77  -1.15   9.71
   2.87  -0.87   9.59
   2.94  -0.59   9.48
   2.99  -0.29   9.37
   3.00   0.00   9.28
   3.98   0.39   8.16
   3.92   0.78   8.10
   3.83   1.16   8.05
   3.70   1.53   8.02
   3.53   1.89   8.00
   3.33   2.22   7.98
   3.09   2.54   7.98
   2.83   2.83   7.99
   2.54   3.09   8.01
   2.22   3.33   8.05
   1.89   3.53   8.10
   1.53   3.70   8.16
   1.16   3.83   8.24
   0.78   3.92   8.34
   0.39   3.98   8.47
   0.00   4.00   8.60
  -0.39   3.98   8.76
  -0.78   3.92   8.94
  -1.16   3.83   9.15
  -1.53   3.70   9.36
  -1.89   3.53   9.59
  -2.22   3.33   9.82
  -2.54   3.09  10.07
  -2.83   2.83  10.34
  -3.09   2.54  10.61
  -3.33   2.22  10.88
  -3.53   1.89  11.14
  -3.70   1.53  11.41
  -3.83   1.16  11.68
  -3.92   0.78  11.94
  -3.98   0.39  12.17
  -4.00   0.00  12.39
  -3.98  -0.39  12.58
  -3.92  -0.78  12.76
  -3.83  -1.16  12.89
  -3.70  -1.53  12.98
  -3.53  -1.89  13.03
  -3.33  -2.22  13.03
  -3.09  -2.54  12.99
  -2.83  -2.83  12.91
  -2.54  -3.09  12.78
  -2.22  -3.33  12.62
  -1.89  -3.53  12.42
  -1.53  -3.70  12.21
  -1.16  -3.83  11.98
  -0.78  -3.92  11.73
  -0.39  -3.98  11.48
   0.00  -4.00  11.21
   0.39  -3.98  10.95
   0.78  -3.92  10.70
   1.16  -3.83  10.45
   1.53  -3.70  10.20
   1.89  -3.53   9.96
   2.22  -3.33   9.74
   2.54  -3.09   9.53
   2.83  -2.83   9.33
   3.09  -2.54   9.15
   3.33  -2.22   8.98
   3.53  -1.89   8.81
   3.70  -1.53   8.66
   3.83  -1.16   8.53
   3.92  -0.78   8.42
   3.98  -0.39   8.31
   4.00   0.00   8.23
   4.98   0.49   7.11
   4.90   0.98   7.06
   4.78   1.45   7.02
   4.62   1.91   6.99
   4.41   2.36   6.97
   4.16   2.78   6.96
   3.87   3.17   6.95
   3.54   3.54   6.95
   3.17   3.87   6.96
   2.78   4.16   6.98
   2.36   4.41   7.01
   1.91   4.62   7.06
   1.45   4.78   7.13
   0.98   4.90   7.23
   0.49   4.98   7.36
   0.00   5.00   7.50
  -0.49   4.98   7.66
  -0.98   4.90   7.83
  -1.45   4.78   8.03
  -1.91   4.62   8.25
  -2.36   4.41   8.50
  -2.78   4.16   8.75
  -3.17   3.87   9.02
  -3.54   3.54   9.31
  -3.87   3.17   9.61
  -4.16   2.78   9.92
  -4.41   2.36  10.23
  -4.62   1.91  10.54
  -4.78   1.45  10.85
  -4.90   0.98  11.17
  -4.98   0.49  11.47
  -5.00   0.00  11.74
  -4.98  -0.49  11.98
  -4.90  -0.98  12.20
  -4.78  -1.45  12.37
  -4.62  -1.91  12.49
  -4.41  -2.36  12.55
  -4.16  -2.78  12.55
  -3.87  -3.17  12.49
  -3.54  -3.54  12.38
  -3.17  -3.87  12.21
  -2.78  -4.16  11.99
  -2.36  -4.41  11.73
  -1.91  -4.62  11.46
  -1.45  -4.78  11.17
  -0.98  -4.90  10.86
  -0.49  -4.98  10.55
   0.00  -5.00  10.24
   0.49  -4.98   9.94
   0.98  -4.90   9.65
   1.45  -4.78   9.36
   1.91  -4.62   9.10
   2.36  -4.41   8.86
   2.78  -4.16   8.64
   3.17  -3.87   8.42
   3.54  -3.54   8.22
   3.87  -3.17   8.04
   4.16  -2.78   7.88
   4.41  -2.36   7.73
   4.62  -1.91   7.60
   4.78  -1.45   7.48
   4.90  -0.98   7.37
   4.98  -0.49   7.26
   5.00   0.00   7.17
   5.97   0.59   6.20
   5.88   1.17   6.18
   5.74   1.74   6.15
   5.54   2.30   6.14
   5.29   2.83   6.12
   4.99   3.33   6.10
   4.64   3.81   6.09
   4.24   4.24   6.08
   3.81   4.64   6.07
   3.33   4.99   6.06
   2.83   5.29   6.07
   2.30   5.54   6.08
   1.74   5.74   6.12
   1.17   5.88   6.18
   0.59   5.97   6.26
   0.00   6.00   6.37
  -0.59   5.97   6.53
  -1.17   5.88   6.69
  -1.74   5.74   6.87
  -2.30   5.54   7.07
  -2.83   5.29   7.28
  -3.33   4.99   7.52
  -3.81   4.64   7.79
  -4.24   4.24   8.06
  -4.64   3.81   8.35
  -4.99   3.33   8.66
  -5.29   2.83   9.01
  -5.54   2.30   9.35
  -5.74   1.74   9.69
  -5.88   1.17  10.03
  -5.97   0.59  10.38
  -6.00   0.00  10.69
  -5.97  -0.59  10.97
  -5.88  -1.17  11.22
  -5.74  -1.74  11.41
  -5.54  -2.30  11.57
  -5.29  -2.83  11.64
  -4.99  -3.33  11.63
  -4.64  -3.81  11.55
